"Sr No","Street Address","City","State","Postal Code","Country","GLM API ID","Network","AddressStatus","Correct GLM Stree Adress"
"","10 POST OFFICE SQ","BOSTON","MA","2109","","PL0000563463","On-Net","",""
"","100 ABBOTT PARK RD","ABBOTT PARK","IL","60064","","PL0000039113","On-Net","",""
"","100 PEACHTREE ST NW","ATLANTA","GA","30303","","PL0000069044","On-Net","",""
"","1000 H STREET NW","WASHINGTON","DC","20001","","PL0000463127","On-Net","",""
"","1000 KAMEHAMEHA HWY","PEARL CITY","HI","96782","","PL0000388815","On-Net","",""
"","1000 OMEGA DRIVE","PITTSBURGH","PA","15205","","PL0000066713","On-Net","",""
"","101 N WACKER DR","CHICAGO","IL","60606","","PL0000003482","On-Net","",""
"","10400 LITTLE PATUXENT PKWY","COLUMBIA","MD","21044","","PL0000103072","On-Net","",""
"","1098 FREDERICK BLVD","PORTSMOUTH","VA","23707","","PL0000314681","On-Net","",""
"","110 WILLIAM ST","NEW YORK","NY","10038","","PL0000016057","On-Net","",""
"","111 E WACKER DR","CHICAGO","IL","60601","","PL0000040363","On-Net","",""
"","1111 E MAIN ST","RICHMOND","VA","23219","","PL0000069780","On-Net","",""
"","1151 STONECREST BLVD","TEGA CAY","SC","29708","","PL0000440437","On-Net","",""
"","11745 W INTERSTATE 10","SAN ANTONIO","TX","78230","","PL0024953193","Off-Net","",""
"","11901 STANDIFORD PLAZA DR","LOUISVILLE","KY","40229","","PL0002084291","On-Net","",""
"","120 MONUMENT CIR","INDIANAPOLIS","IN","46204","","PL0000009089","On-Net","",""
"","1228 N HWY 377","ROANOKE","TX","76262","","PL0000904186","On-Net","",""
"","12455 W CAPITOL DR","BROOKFIELD","WI","53005","","PL0000296366","On-Net","",""
"","12520 OLIVE BLVD","CREVE COEUR","MO","63141","","PL0000658351","On-Net","",""
"","12657 ALCOSTA BOULEVARD","SAN RAMON","CA","94583","","PL0000069320","On-Net","",""
"","12981 SHELBYVILLE ROAD","MIDDLETOWN","KY","40243","","PL0000964386","On-Net","",""
"","1340 AIRPORT COMMERCE DR","AUSTIN","TX","78741","","PL0000094831","On-Net","",""
"","135 N LOS ROBLES AVE","PASADENA","CA","91101","","PL0000023565","On-Net","",""
"","1350 BROADWAY","NEW YORK","NY","10018","","PL0000013947","On-Net","",""
"","1375 PEACHTREE ST NE","ATLANTA","GA","30309","","PL0000081886","On-Net","",""
"","1400 K ST NW","WASHINGTON","DC","20005","","PL0002899627","On-Net","",""
"","1440 BROADWAY","NEW YORK","NY","10018","","PL0000080909","On-Net","",""
"","1500 MARKET ST","PHILADELPHIA","PA","19102","","PL0000179426","On-Net","",""
"","1501 US HIGHWAY 22","WATCHUNG","NJ","7069","","PL0001329734","On-Net","",""
"","1544 OLD GREENSBORO ROAD","KERNERSVILLE","NC","27284","","PL0000087866","On-Net","",""
"","1549 ROUTE 9","HALFMOON","NY","12065","","PL0000304402","On-Net","",""
"","16241 S FARRELL RD","LOCKPORT","IL","60441","","PL0000207241","On-Net","",""
"","1693 STRINGTOWN ROAD","GROVE CITY","OH","43123","","PL0000195558","On-Net","",""
"","1825 K ST NW","WASHINGTON","DC","20006","","PL0000107505","On-Net","",""
"","1850 M ST NW","WASHINGTON","DC","20036","","PL0000022420","On-Net","",""
"","1850 NORTH ZARAGOZA ROAD","EL PASO","TX","79936","","PL0001555655","On-Net","","1850 N ZARAGOZA RD"
"","1925 CENTURY PARK E","CENTURY CITY","CA","90067","","PL0000085333","On-Net","",""
"","199 MAIN ST","BURLINGTON","VT","5401","","PL0000223343","On-Net","",""
"","1999 BRYAN ST","DALLAS","TX","75201","","PL0000080253","On-Net","",""
"","200 S BISCAYNE BLVD","MIAMI","FL","33131","","PL0000115733","On-Net","",""
"","2020 K ST NW","WASHINGTON","DC","20006","","PL0000427758","On-Net","",""
"","2050 N STEMMONS FWY","DALLAS","TX","75207","","PL0000025966","On-Net","",""
"","21150 KUYKENDAHL RD","SPRING","TX","77379","","PL0000519795","On-Net","",""
"","2181 PELHAM PKWY","PELHAM","AL","35124","","PL0001579687","On-Net","",""
"","220 MONTGOMERY ST","SAN FRANCISCO","CA","94104","","PL0000018987","On-Net","",""
"","2200 BRIARCREST DR","BRYAN","TX","77802","","PL0001556274","On-Net","",""
"","2200 MISSION COLLEGE BLVD","SANTA CLARA","CA","95054","","PL0000466936","On-Net","",""
"","2201 N STEMMONS FWY","DALLAS","TX","75207","","PL0000004893","On-Net","",""
"","222 MERCHANDISE MART PLZ","CHICAGO","IL","60654","","PL0000085830","On-Net","",""
"","2301 GLADES RD","BOCA RATON","FL","33431","","PL0000820717","On-Net","",""
"","2350 S PLEASANT VALLEY ROAD","WINCHESTER","VA","22601","","PL0002125785","On-Net","",""
"","2400 MARKET STREET","PHILADELPHIA","PA","19103","","PL0000407217","On-Net","",""
"","250 E OLIVE AVE","BURBANK","CA","91502","","PL0000893401","On-Net","",""
"","2501 NE CENTURY BLVD","HILLSBORO","OR","97124","","PL0035705955","Off-Net","","2501 NW 229TH AVE"
"","25108 MARKET PLACE DR","KATY","TX","77494","","PL0000571640","On-Net","",""
"","2552 W 75TH ST","NAPERVILLE","IL","60564","","PL0001498448","On-Net","",""
"","25800 KUYKENDAHL RD","TOMBALL","TX","77375","","PL0008422999","On-Net","",""
"","265 INDUSTRIAL PARK DR","BINGHAMTON","NY","13904","","PL0000009984","On-Net","",""
"","279 TROY RD","RENSSELAER","NY","12144","","PL0000033460","On-Net","",""
"","2800 OPRYLAND DR","NASHVILLE","TN","37214","","PL0000915981","On-Net","",""
"","30 MONTGOMERY STREET","JERSEY CITY","NJ","7302","","PL0000010025","On-Net","",""
"","303 2ND ST","SAN FRANCISCO","CA","94107","","PL0000035151","On-Net","",""
"","3141 GARDEN ROAD","BURLINGTON","NC","27215","","PL0000338226","On-Net","",""
"","3150 PARADISE RD","LAS VEGAS","NV","89109","","PL0000101355","On-Net","",""
"","325 7TH ST NW","WASHINGTON","DC","20004","","PL0000812604","On-Net","",""
