Sl No,Street Address - A location,City,State,Postal Code - A location,"COUNTRY NAME
(spelled out)",Street Address - Z location,City,State,Postal Code - Z location,"COUNTRY NAME
(spelled out)",GLM ID A location,GLM ID Z location,Floor/Room,Phone Number        (Required for EMEA/LATM for Offnet - ROC),Site Contact Name        (Required for EMEA/LATM for Offnet - ROC),GPS Coordinates                    (Required for EMEA/LATM for Offnet - ROC),A Loc Building Extension,Z Loc Building Extension,Access Bandwidth,Encrypted Wave? (Only available on 10GB and above OnNet Waves in NA and EU),A Access Service Type,Z Access Service Type,Circuit Protection                                                                             (Required),Latency Guarantee Level,Diversity Required,Custom Route,Term Length,Number of Circuits with the Same Configuration,Telecom Service Priority ,Z Loc 3rd Party X-Connect,A Loc 3rd Party X-Connect
1,12050 BALTIMORE AVE,BELTSVILLE,MARYLAND,20705,US,55 MARIETTA ST NW,ATLANTA,GEORGIA,30303,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
2,12050 BALTIMORE AVE,BELTSVILLE,MARYLAND,20705,US,56 MARIETTA ST NW,ATLANTA,GEORGIA,30303,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
3,12050 BALTIMORE AVE,BELTSVILLE,MARYLAND,20705,US,421 W CHURCH ST,JACKSONVILLE,FLORIDA,32202,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
4,12050 BALTIMORE AVE,BELTSVILLE,MARYLAND,20705,US,36 NE 2ND ST,MIAMI,FLORIDA,33132,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
5,12050 BALTIMORE AVE,BELTSVILLE,MARYLAND,20705,US,1950 N STEMMONS FWY,DALLAS,TEXAS,75207,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
6,12050 BALTIMORE AVE,BELTSVILLE,MARYLAND,20705,US,624 S GRAND AVE,ANGELES,CALIFORNIA,90017,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
7,12050 BALTIMORE AVE,BELTSVILLE,MARYLAND,20705,US,350 E CERMAK RD,CHICAGO,ILLINOIS,60616,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
8,12050 BALTIMORE AVE,BELTSVILLE,MARYLAND,20705,US,21715 FILIGREE CT,ASHBURN,VIRGINIA,20147,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
9,12170 MERRIMAN RD,LIVONIA,MICHIGAN,48150,US,55 MARIETTA ST NW,ATLANTA,GEORGIA,30303,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
10,12170 MERRIMAN RD,LIVONIA,MICHIGAN,48150,US,56 MARIETTA ST NW,ATLANTA,GEORGIA,30303,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
11,12170 MERRIMAN RD,LIVONIA,MICHIGAN,48150,US,421 W CHURCH ST,JACKSONVILLE,FLORIDA,32202,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
